ticker,quarter,net_exposure_change,close_q,close_next_q,price_return_next_q
ORCL,2019-09-30,-49780283.0,55.04,52.98,-0.03742732558139539
ORCL,2019-12-31,24814788.0,52.98,48.37,-0.08701396753491886
ORCL,2020-03-31,-1897978.0,48.37,55.37,0.1447178002894356
ORCL,2020-06-30,-21417666.0,55.37,59.74,0.07892360484016625
ORCL,2020-09-30,26223463.0,59.74,64.76,0.08403080013391362
ORCL,2020-12-31,-26247145.0,64.76,70.2,0.08400247066090172
ORCL,2021-03-31,-1098742.0,70.2,77.84,0.10883190883190874
ORCL,2021-06-30,26728444.0,77.84,87.13,0.11934737923946548
ORCL,2021-09-30,-27079222.0,87.13,87.2,0.0008033972225411912
ORCL,2021-12-31,24650115.0,87.2,82.74,-0.05114678899082581
ORCL,2022-03-31,-24086921.0,82.74,69.89,-0.15530577713318827
ORCL,2022-06-30,4429295.0,69.89,61.14,-0.1251967377307197
ORCL,2022-09-30,7926084.0,61.14,92.93,0.5199542034674518
ORCL,2023-03-31,15734793.0,92.93,119.09,0.28150220596147624
ORCL,2023-06-30,-12667957.0,119.09,170.37,0.4305987068603576
ORCL,2024-09-30,1418868.0,170.37,166.68,-0.02165874273639723
ORCL,2024-12-31,-233451.0,166.68,139.81,-0.1612071034317255
ORCL,2025-03-31,51349179.0,139.81,218.62,0.5636935841499178
ORCL,2025-06-30,99762579.0,218.62,281.22,0.28634159729210507
ORCL,2025-09-30,68672458.0,281.22,194.96,-0.3067349406158879
UNH,2019-09-30,105492890.0,217.27,293.99,0.3531090348414414
UNH,2019-12-31,-105165052.0,293.99,248.92,-0.15330453416782885
UNH,2020-03-31,46405.0,248.92,294.95,0.18491884942953551
UNH,2020-06-30,154841.0,294.95,311.7,0.05678928631971525
UNH,2020-09-30,-201509.0,311.7,350.96,0.12595444337504014
UNH,2020-12-31,54375.0,350.96,372.27,0.06071917027581497
UNH,2021-03-31,798542.0,372.27,400.41,0.07559029736481593
UNH,2021-06-30,-93175.0,400.41,390.6,-0.024499887615194393
UNH,2021-09-30,947711.0,390.6,502.07,0.2853814644137225
UNH,2021-12-31,74654188.0,502.07,510.01,0.015814527854681515
UNH,2022-03-31,-1721343.0,510.01,515.36,0.010489990392345216
UNH,2022-06-30,-19152245.0,515.36,505.76,-0.01862775535547967
UNH,2022-09-30,-45134870.0,505.76,472.41,-0.06594036697247696
UNH,2023-03-31,-42429324.0,472.41,480.85,0.017865836878982133
UNH,2023-06-30,3104609.0,480.85,584.52,0.2155973796402204
UNH,2024-09-30,71406806.0,584.52,506.24,-0.13392185040717164
UNH,2024-12-31,-74258189.0,506.24,523.49,0.03407474715549941
UNH,2025-03-31,12443769.0,523.49,311.86,-0.40426751227339586
UNH,2025-06-30,-124765369.0,311.86,345.4,0.10754825883409214
UNH,2025-09-30,-78185980.0,345.4,330.22,-0.04394904458598714
FDS,2019-09-30,92363.0,243.06,334.96,0.37809594338846364
FDS,2020-09-30,252908.0,334.96,332.76,-0.006567948411750568
FDS,2020-12-31,-12185.0,332.76,308.66,-0.07242457026084859
FDS,2021-12-31,-390901.0,486.18,385.08,-0.20794767370109846
FDS,2022-06-30,3512266.0,385.08,400.49,0.04001765866832874
FDS,2022-09-30,-3422191.0,400.49,415.1,0.0364803116182677
FDS,2023-03-31,238318.0,415.1,400.74,-0.0345940737171766
FDS,2023-06-30,-351871.0,400.74,459.9,0.14762689025303177
FDS,2024-09-30,205400.0,459.9,480.02,0.04374864100891496
FDS,2024-12-31,1022777.0,480.02,454.64,-0.052872796966793034
FDS,2025-03-31,167960.0,454.64,447.15,-0.01647457328875601
FDS,2025-06-30,-3855903.0,447.15,286.4,-0.3594990495359499
FDS,2025-09-30,-3313248.0,286.4,290.23,0.013372905027933202
